削除された単語一覧（frequency=0 = コーパスに未出現）
削除件数: 53,409 件
==================================================

-冊	-サツ
-方	-ホウ
-様	-サマ
-氏	-シ
-番目	-バンメ
-風	-カゼ
1/4マイル	1/4マイル
100万命令毎秒	100マンメイレイマイビヨウ
うわ言	ウワゲン
うんざりさせる	ウンザリサセル
うんざりした	ウンザリシタ
うんざりする	ウンザリスル
う蝕	ウシヨク
えがらっぽさ	エガラツポサ
えげつなさ	エゲツナサ
えこじ	エコジ
えこひいき	エコヒイキ
えじき	エジキ
えの具	エノグ
えび茶の	エビチヤノ
えも言われぬ	エモイワレヌ
えり分ける	エリワケル
えり巻	エリカン
えり巻き	エリマキ
えり抜き	エリヌキ
え辛い	エツライ
え辛っぽい	エカラツポイ
おあし	オアシ
おいしい	オイシイ
おいど	オイド
おうへいな	オウヘイナ
おうむ返しにする	オウムカエシニスル
おうむ返しに繰り返す	オウムカエシニクリカエス
おおかた	オオカタ
おおく	オオク
おおざっぱ	オオザツパ
おおしい	オオシイ
おおなおおな	オオナオオナ
おおまか	オオマカ
おおよそ	オオヨソ
おおらか	オオラカ
おかげ	オカゲ
おかしい	オカシイ
おかちめんこ	オカチメンコ
おかみ	オカミ
おかみさん	オカミサン
おがくず	オガクズ
おくび	オクビ
おくり物	オクリモノ
おく病	オクビヨウ
おこがましい	オコガマシイ
おこり	オコリ
おごり	オゴリ
おさらい	オサライ
おさらば	オサラバ
おざなり	オザナリ
おしまい	オシマイ
おしめ	オシメ
おしゃべり	オシヤベリ
おしゃれ	オシヤレ
おしゃれに	オシヤレニ
おじ	オジ
おじおじ	オジオジ
おじけ	オジケ
おじける	オジケル
おじけ付く	オジケツク
おじさん	オジサン
おじ気	オジキ
おせっかい	オセツカイ
おそらく	オソラク
おそるおそる	オソルオソル
おそれ多い	オソレオオイ
おぞましい	オゾマシイ
おたおたする	オタオタスル
おたふく風邪	オタフクカゼ
おたふく飴	オタフクアメ
おだてあげる	オダテアゲル
おちゃらかす	オチヤラカス
おちょくって	オチヨクツテ
おっかなさ	オツカナサ
おっきい	オツキイ
おっことす	オツコトス
おっしゃる	オツシヤル
おって	オツテ
おっ母	オツハハ
おっ母さん	オツカアサン
おっ立つ	オツタツ
おっ開く	オツヒラク
おつけ	オツケ
おつむ	オツム
おでき	オデキ
おでこ	オデコ
おとぎの国	オトギノクニ
おとぎ話	オトギハナシ
おとっつあん	オトツツアン
おとな	オトナ
おとなげなく	オトナゲナク
おとなしい	オトナシイ
おとなしく	オトナシク
おとな気ない	オトナキナイ
おとり捜査	オトリソウサ
おどけて	オドケテ
おどし取る	オドシトル
おどり子	オドリコ
おなか	オナカ
おなご	オナゴ
おなじく	オナジク
おのおの	オノオノ
おのずから	オノズカラ
おのずと	オノズト
おののき	オノノキ
おはこ	オハコ
おばあちゃん	オバアチヤン
おばけ	オバケ
おひゃらかす	オヒヤラカス
おびただしい	オビタダシイ
おびただしさ	オビタダシサ
おべっか使い	オベツカツカイ
おべべ	オベベ
おぼえ書き	オボエカキ
おぼえ込む	オボエコム
おぼし召す	オボシメス
おぼつかない	オボツカナイ
おぼつかなげ	オボツカナゲ
おぼろ	オボロ
おぼろげ	オボロゲ
おぼろ雲	オボロクモ
おまけとして	オマケトシテ
おまけに	オマケニ
おまじない	オマジナイ
おまんこ	オマンコ
おまんま	オマンマ
おみなえし科	オミナエシカ
おむつ	オムツ
おめでたさ	オメデタサ
おもいきり	オモイキリ
おもうさま	オモウサマ
おもしい	オモシイ
おもしろい	オモシロイ
おもしろい経験	オモシロイケイケン
おもちゃ	オモチヤ
おもに	オモニ
おもむろに	オモムロニ
おもろい	オモロイ
おやじ様	オヤジサマ
おやつ	オヤツ
おや指	オヤユビ
およそ	オヨソ
およびその他の物	オヨビソノホカノモノ
およびその他の者たち	オヨビソノホカノモノタチ
おり	オリ
おりおり	オリオリ
おり入って	オリイツツテ
おり屈み	オリカガミ
おろし金	オロシキン
おんどり	オンドリ
おんなし	オンナシ
おんなじ	オンナジ
おんぼろ車	オンボロクルマ
お三	オサン
お上	オウエ
お上さん	オノボサン
お下がり	オサガリ
お世辞	オセジ
お中	オナカ
お互いに	オタガイニ
お人よし	オニンヨシ
お人好し	オニンコウシ
お人形さん	オニンギヨウサン
お仕置き	オシオキ
お仕舞	オシマイ
お仕舞い	オシマイ
お付き	オツキ
お付き合い	オツキアイ
お付け	オツケ
お代	オダイ
お休み	オヤスミ
お休みなさい	オヤスミナサイ
お伴	オハン
お伽	オキヤ
お伽噺	オトギバナシ
お伽話	オトギバナシ
お使い	オツカイ
お供	オトモ
お側	オガワ
お傍	オボウ
お先	オサキ
お先に	オサキニ
お先者	オサキモノ
お八つ	オヤツ
お冠	オカン
お冷	オレイ
お冷やし	オヒヤシ
お凸	オトツ
お出でなされる	オイデナサレル
お出でになる	オイデニナル
お出来	オデキ
お別れ	オワカレ
お前	オマエ
お前さん	オマエサン
お助け	オタスケ
お勤め	オツトメ
お化	オカ
お化け	オバケ
お匙	オサジ
お医者	オイシヤ
お医者さん	オイシヤサン
お医者さんごっこ	オイシヤサンゴツコ
お参り	オマイリ
お召	オシヨウ
お召し	オメシ
お召しもの	オメシモノ
お召し物	オメシモノ
お召物	オメシモノ
お呼び	オヨビ
お喋り	オシヤベリ
お回り	オマワリ
お国	オクニ
お土産	オミヤゲ
お坊さん	オボウサン
お坊ちゃん	オボウチヤン
お坊っちゃん	オボツチヤン
お墨付き	オスミツキキ
お天気	オテンキ
お天道様	オテンドウサマ
お女中	オジヨチユウ
お好	オコウ
お好み	オコノミ
お姉さん	オネエサン
お姉様	オネエサマ
お姫様	オヒメサマ
お婆	オバア
お婆さま	オバアサマ
お婆さん	オバアサン
お婆ん	オバアン
お婆様	オバアサマ
お嫁さん	オヨメサン
お嬢さん	オジヨウサン
お嬢様	オジヨウサマ
お子さん	オコサン
お子様	オコサマ
お孫さん	オマゴサン
お宅	オタク
お守	オシユ
お守り	オマモリ
お安い	オヤスイ
お定まり	オサダマリ
お定り	オテイリ
お宝	オタカラ
お客	オキヤク
お客さま	オキヤクサマ
お客さん	オキヤクサン
お客様	オキヤクサマ
お家	オイエ
お家芸	オカゲイ
お宿	オヤド
お寒い	オサムイ
お寺	オテラ
お寺さま	オテラサマ
お寺様	オテラサマ
お尚	オタカシ
お尻	オシリ
お屋形	オヤカタ
お屋敷	オヤシキ
お山	オヤマ
お巡り	オメグリ
お巡りさん	オメグリサン
お師さん	オシサン
お師匠さん	オシシヨウサン
お帰り	オカエリ
お広め	オヒロメ
お座敷	オザシキ
お引き回し	オヒキマワシ
お引き立て	オヒキタテ
お引回	オヒキカイ
お引回し	オヒキマワシ
お引立	オヒキリツ
お引立て	オヒキタテ
お役	オヤク
お役ご免	オヤクゴメン
お役御免	オヤクゴメン
お役所	オヤクシヨ
お役所仕事	オヤクシヨシゴト
お役目	オヤクメ
お御足	オオアシ
お情	オジヨウ
お情け	オナサケ
お愛想	オアイソウ
お慰み	オナグサミ
お手々	オテ々
お手て	オテテ
お手伝い	オテツダイ
お手伝いさん	オテツダイサン
お手手	オテテ
お手掛け	オテガケ
お手数	オテスウ
お手洗い	オテアライ
お手玉	オテダマ
お払い	オハライ
お払箱	オフツハコ
お披露目	オヒロメ
お拾	オシユウ
お拾い	オヒロイ
お持て成し	オモテナシ
お敵	オテキ
お文	オブン
お断り	オコトワリ
お断わり	オコトワリ
お方	オホウ
お日さま	オニチサマ
お日様	オニチサマ
お昼	オヒル
お暇	オヒマ
お月さま	オガツサマ
お月様	オガツサマ
お札	オサツ
お株	オカブ
お楽しみ	オタノシミ
お構い	オカマイ
お構いなし	オカマイナシ
お櫛	オクシ
お次	オツギ
お次ぎ	オツギ
お母	オハハ
お母さま	オカアサマ
お母さん	オカアサン
お母様	オハハサマ
お気に入り	オキニイリ
お気の毒	オキノドク
お気の毒さま	オキノドクサマ
お水	オミズ
お汁	オシル
お決まり	オキマリ
お決まりのもの	オキマリノモノ
お洒落	オシヤレ
お浚	オシユン
お浚い	オシユンイ
お湯	オユ
お父さま	オトウサマ
お父さん	オトウサン
お父ちゃん	オトウチヤン
お父っさん	オトウツサン
お父っつぁん	オトウツツアン
お父様	オトウサマ
お爺	オジイ
お爺さん	オジイサン
お爺様	オジイサマ
お玉	オタマ
お玉杓子	オタマシヤクシ
お産	オサン
